                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |     754398 |     487239 |     488788 |     485889
  Cycles                             |     701000 |     701000 |     701000 |     701000
  IPC                                |       1.08 |       0.70 |       0.70 |       0.69
  Time (ns)                          |     701000 |     701000 |     701000 |     701000
  Idle time (ns)                     |       3342 |     497249 |     500216 |     505694
  Idle time (%)                      |       0.5% |      70.9% |      71.4% |      72.1%
Branch predictor stats               |            |            |            |           
  num correct                        |      57747 |      10799 |      10964 |      10653
  num incorrect                      |       6336 |        218 |        246 |        204
  misprediction rate                 |      9.89% |      1.98% |      2.19% |      1.88%
  mpki                               |       8.40 |       0.45 |       0.50 |       0.42
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |      74421 |      41205 |      41351 |      41066
    num misses                       |         93 |         41 |         41 |         40
    miss rate                        |      0.12% |      0.10% |      0.10% |      0.10%
    mpki                             |       0.12 |       0.08 |       0.08 |       0.08
  D-TLB                              |            |            |            |           
    num accesses                     |     232063 |     152748 |     153389 |     152139
    num misses                       |        118 |         44 |         48 |         40
    miss rate                        |      0.05% |      0.03% |      0.03% |      0.03%
    mpki                             |       0.16 |       0.09 |       0.10 |       0.08
  L2 TLB                             |            |            |            |           
    num accesses                     |        211 |         85 |         89 |         80
    num misses                       |        185 |         85 |         89 |         79
    miss rate                        |     87.68% |    100.00% |    100.00% |     98.75%
    mpki                             |       0.25 |       0.17 |       0.18 |       0.16
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      74421 |      41205 |      41351 |      41066
    num cache misses                 |       1492 |        292 |        303 |        280
    miss rate                        |      2.00% |      0.71% |      0.73% |      0.68%
    mpki                             |       1.98 |       0.60 |       0.62 |       0.58
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     232063 |     152748 |     153389 |     152139
    num cache misses                 |       7145 |       3531 |       3466 |       3608
    miss rate                        |      3.08% |      2.31% |      2.26% |      2.37%
    mpki                             |       9.47 |       7.25 |       7.09 |       7.43
  Cache L2                           |            |            |            |           
    num cache accesses               |      11499 |       6659 |       6675 |       6616
    num cache misses                 |       6562 |       2426 |       2575 |       2294
    miss rate                        |     57.07% |     36.43% |     38.58% |     34.67%
    mpki                             |       8.70 |       4.98 |       5.27 |       4.72
DRAM summary                         |            |            |            |           
  num dram accesses                  |       2499 |          0 |       2511 |          0
  average dram access latency (ns)   |     120.02 |        inf |     119.68 |        inf
  average dram queueing delay        |       7.20 |       0.00 |       6.86 |       0.00
  average dram bandwidth utilization |      4.00% |      0.00% |      4.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       2315 |         23 |         10 |          9
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |       1127 |       1167 |       1236 |       1201
